,feature,frequency,rank,word1,word2
1,of_the,14136,1,of,the
2,in_the,13709,2,in,the
3,to_the,6446,3,to,the
4,on_the,5555,4,on,the
5,for_the,5391,5,for,the
6,at_the,4519,6,at,the
7,in_a,4050,7,in,a
8,and_the,4047,8,and,the
9,to_be,3572,9,to,be
10,with_the,3319,10,with,the
11,from_the,2805,11,from,the
12,with_a,2627,12,with,a
13,of_a,2583,13,of,a
14,he_said,2549,14,he,said
15,as_a,2479,15,as,a
16,for_a,2331,16,for,a
17,by_the,2198,17,by,the
18,is_a,2171,18,is,a
19,will_be,2151,19,will,be
20,it_was,2128,20,it,was
21,the_first,2072,21,the,first
22,that_the,2070,22,that,the
23,and_a,1976,23,and,a
24,to_a,1931,24,to,a
25,one_of,1924,25,one,of
26,he_was,1923,26,he,was
27,more_than,1916,27,more,than
28,said_the,1668,28,said,the
29,going_to,1667,29,going,to
30,as_the,1642,30,as,the
31,has_been,1613,31,has,been
32,on_a,1566,32,on,a
33,was_a,1518,33,was,a
34,is_the,1477,34,is,the
35,out_of,1462,35,out,of
36,to_get,1423,36,to,get
37,have_been,1389,37,have,been
38,according_to,1372,38,according,to
39,said_he,1366,39,said,he
40,it_is,1287,40,it,is
41,a_lot,1246,41,a,lot
42,the_state,1240,42,the,state
43,about_the,1220,43,about,the
44,the_same,1214,44,the,same
45,have_to,1212,45,have,to
46,over_the,1194,46,over,the
47,to_do,1185,47,to,do
48,to_make,1170,48,to,make
49,but_the,1168,49,but,the
50,would_be,1153,50,would,be
51,into_the,1133,51,into,the
52,want_to,1115,52,want,to
53,the_new,1096,53,the,new
54,of_his,1070,54,of,his
55,at_a,1056,55,at,a
56,a_year,1041,56,a,year
57,she_said,1019,57,she,said
58,year_old,1018,58,year,old
59,part_of,994,59,part,of
60,last_year,993,60,last,year
61,in_his,992,61,in,his
62,the_city,985,62,the,city
63,was_the,978,63,was,the
64,this_is,973,64,this,is
65,be_a,963,65,be,a
66,have_a,962,66,have,a
67,to_have,915,67,to,have
68,the_most,912,68,the,most
69,that_he,909,69,that,he
70,lot_of,905,70,lot,of
71,a_new,877,71,a,new
72,after_the,872,72,after,the
73,new_york,870,73,new,york
74,there_are,844,74,there,are
75,at_least,844,74,at,least
76,such_as,839,76,such,as
77,when_the,830,77,when,the
78,i_was,827,78,i,was
79,this_year,826,79,this,year
80,i_think,824,80,i,think
81,a_few,819,81,a,few
82,the_u.s,811,82,the,u.s
83,and_other,810,83,and,other
84,the_best,802,84,the,best
85,and_i,795,85,and,i
86,the_last,792,86,the,last
87,if_you,783,87,if,you
88,from_a,778,88,from,a
89,is_not,761,89,is,not
90,all_the,756,90,all,the
91,the_year,753,91,the,year
92,during_the,748,92,during,the
93,up_to,747,93,up,to
94,they_are,743,94,they,are
95,as_well,736,95,as,well
96,to_see,733,96,to,see
97,a_little,729,97,a,little
98,by_a,726,98,by,a
99,we_have,723,99,we,have
100,had_a,718,100,had,a
101,the_company,717,101,the,company
102,able_to,717,101,able,to
103,some_of,716,103,some,of
104,trying_to,708,104,trying,to
105,when_he,706,105,when,he
106,the_second,703,106,the,second
107,st_louis,701,107,st,louis
108,high_school,691,108,high,school
109,and_his,683,109,and,his
110,to_go,679,110,to,go
111,he_has,675,111,he,has
112,can_be,669,112,can,be
113,percent_of,669,112,percent,of
114,it's_a,665,114,it's,a
115,need_to,662,115,need,to
116,had_been,659,116,had,been
117,to_take,654,117,to,take
118,because_of,654,117,because,of
119,they_were,651,119,they,were
120,in_an,644,120,in,an
121,the_game,642,121,the,game
122,a_good,642,121,a,good
123,you_can,639,123,you,can
124,has_a,638,124,has,a
125,he_had,638,124,he,had
126,and_that,637,126,and,that
127,he_is,636,127,he,is
128,there_is,635,128,there,is
129,said_â,622,129,said,â
130,the_next,618,130,the,next
131,the_world,618,130,the,world
132,would_have,614,132,would,have
133,did_not,609,133,did,not
134,new_jersey,607,134,new,jersey
135,she_was,606,135,she,was
136,into_a,606,135,into,a
137,in_and,605,137,in,and
138,of_their,602,138,of,their
139,the_time,598,139,the,time
140,itâ_s,597,140,itâ,s
141,before_the,593,141,before,the
142,back_to,591,142,back,to
143,if_the,590,143,if,the
144,the_way,581,144,the,way
145,i_don't,580,145,i,don't
146,that_was,578,146,that,was
147,the_other,576,147,the,other
148,be_the,576,147,be,the
149,kind_of,573,149,kind,of
150,said_that,573,149,said,that
151,that_is,570,151,that,is
152,through_the,570,151,through,the
153,the_end,568,153,the,end
154,said_it,566,154,said,it
155,all_of,557,155,all,of
156,the_past,557,155,the,past
157,to_help,556,157,to,help
158,number_of,552,158,number,of
159,off_the,551,159,off,the
160,to_keep,550,160,to,keep
161,and_he,549,161,and,he
162,in_this,544,162,in,this
163,could_be,544,162,could,be
164,the_two,542,164,the,two
165,years_ago,540,165,years,ago
166,but_it,535,166,but,it
167,and_then,533,167,and,then
168,we_are,527,168,we,are
