feature,frequency,rank,word1,word2,word3,word4
for_the_first_time,224,1,for,the,first,time
the_end_of_the,200,2,the,end,of,the
at_the_end_of,194,3,at,the,end,of
said_in_a_statement,152,4,said,in,a,statement
the_rest_of_the,150,5,the,rest,of,the
one_of_the_most,136,6,one,of,the,most
in_the_united_states,130,7,in,the,united,states
at_the_same_time,126,8,at,the,same,time
is_one_of_the,121,9,is,one,of,the
â_he_said_â,113,10,â,he,said,â
in_the_block_of,111,11,in,the,block,of
when_it_comes_to,111,11,when,it,comes,to
at_the_university_of,103,13,at,the,university,of
in_the_middle_of,95,14,in,the,middle,of
by_the_end_of,86,15,by,the,end,of
going_to_be_a,85,16,going,to,be,a
the_top_of_the,81,17,the,top,of,the
to_be_able_to,78,18,to,be,able,to
in_the_first_half,75,19,in,the,first,half
a_member_of_the,71,20,a,member,of,the
one_of_the_best,71,20,one,of,the,best
in_the_first_round,70,22,in,the,first,round
the_middle_of_the,70,22,the,middle,of,the
as_well_as_the,70,22,as,well,as,the
is_going_to_be,68,25,is,going,to,be
a_lot_of_people,67,26,a,lot,of,people
was_one_of_the,63,27,was,one,of,the
contributed_to_this_report,63,27,contributed,to,this,report
as_part_of_the,62,29,as,part,of,the
the_first_time_in,61,30,the,first,time,in
one_of_the,1078,1,one,of,the,
a_lot_of,869,2,a,lot,of,
as_well_as,479,3,as,well,as,
according_to_the,435,4,according,to,the,
in_the_first,428,5,in,the,first,
going_to_be,419,6,going,to,be,
part_of_the,409,7,part,of,the,
the_end_of,406,8,the,end,of,
out_of_the,397,9,out,of,the,
some_of_the,391,10,some,of,the,
to_be_a,380,11,to,be,a,
the_united_states,345,12,the,united,states,
the_first_time,339,13,the,first,time,
it_was_a,322,14,it,was,a,
be_able_to,320,15,be,able,to,
for_the_first,294,16,for,the,first,
said_in_a,293,17,said,in,a,
of_the_year,291,18,of,the,year,
a_year_old,291,18,a,year,old,
the_year_old,280,20,the,year,old,
end_of_the,252,21,end,of,the,
percent_of_the,238,22,percent,of,the,
most_of_the,237,23,most,of,the,
is_one_of,230,24,is,one,of,
more_than_a,230,24,more,than,a,
in_the_second,229,26,in,the,second,
the_rest_of,224,27,the,rest,of,
at_the_end,224,27,at,the,end,
the_number_of,222,29,the,number,of,
of_the_season,221,30,of,the,season,
the_university_of,215,31,the,university,of,
in_a_statement,215,31,in,a,statement,
said_he_was,212,33,said,he,was,
at_the_time,211,34,at,the,time,
a_couple_of,211,34,a,couple,of,
â_he_said,209,36,â,he,said,
is_going_to,208,37,is,going,to,
in_the_past,207,38,in,the,past,
he_said_he,201,39,he,said,he,
is_expected_to,200,40,is,expected,to,
you_have_to,196,41,you,have,to,
this_is_a,193,42,this,is,a,
as_part_of,190,43,as,part,of,
as_much_as,186,44,as,much,as,
in_front_of,185,45,in,front,of,
all_of_the,184,46,all,of,the,
according_to_a,184,46,according,to,a,
to_be_the,183,48,to,be,the,
it_was_the,182,49,it,was,the,
in_new_york,179,50,in,new,york,
director_of_the,179,50,director,of,the,
because_of_the,176,52,because,of,the,
of_the_most,174,53,of,the,most,
it_would_be,173,54,it,would,be,
to_have_a,172,55,to,have,a,
the_fact_that,170,56,the,fact,that,
this_is_the,169,57,this,is,the,
not_going_to,164,58,not,going,to,
president_of_the,164,58,president,of,the,
in_the_last,161,60,in,the,last,
there_is_no,161,60,there,is,no,
i_want_to,160,62,i,want,to,
members_of_the,158,63,members,of,the,
we_need_to,158,63,we,need,to,
there_is_a,157,65,there,is,a,
he_said_the,157,65,he,said,the,
the_block_of,156,67,the,block,of,
a_little_bit,156,67,a,little,bit,
back_to_the,156,67,back,to,the,
are_going_to,154,70,are,going,to,
in_the_u.s,153,71,in,the,u.s,
to_make_sure,152,72,to,make,sure,
rest_of_the,151,73,rest,of,the,
was_going_to,151,73,was,going,to,
the_new_york,150,75,the,new,york,
more_than_million,149,76,more,than,million,
for_more_than,148,77,for,more,than,
at_the_same,147,78,at,the,same,
the_same_time,146,79,the,same,time,
