,feature,frequency,rank,word1,word2,word3,word4
1,for_the_first_time,224,1,for,the,first,time
2,the_end_of_the,200,2,the,end,of,the
3,at_the_end_of,194,3,at,the,end,of
4,said_in_a_statement,152,4,said,in,a,statement
5,the_rest_of_the,150,5,the,rest,of,the
6,one_of_the_most,136,6,one,of,the,most
7,in_the_united_states,130,7,in,the,united,states
8,at_the_same_time,126,8,at,the,same,time
9,is_one_of_the,121,9,is,one,of,the
10,â_he_said_â,113,10,â,he,said,â
11,in_the_block_of,111,11,in,the,block,of
12,when_it_comes_to,111,11,when,it,comes,to
13,at_the_university_of,103,13,at,the,university,of
14,in_the_middle_of,95,14,in,the,middle,of
15,by_the_end_of,86,15,by,the,end,of
16,going_to_be_a,85,16,going,to,be,a
17,the_top_of_the,81,17,the,top,of,the
18,to_be_able_to,78,18,to,be,able,to
19,in_the_first_half,75,19,in,the,first,half
20,a_member_of_the,71,20,a,member,of,the
21,one_of_the_best,71,20,one,of,the,best
22,in_the_first_round,70,22,in,the,first,round
23,the_middle_of_the,70,22,the,middle,of,the
24,as_well_as_the,70,22,as,well,as,the
25,is_going_to_be,68,25,is,going,to,be
26,a_lot_of_people,67,26,a,lot,of,people
27,was_one_of_the,63,27,was,one,of,the
28,contributed_to_this_report,63,27,contributed,to,this,report
29,as_part_of_the,62,29,as,part,of,the
30,the_first_time_in,61,30,the,first,time,in
